APEX ID,Sl. No.,Land ID,9008 Store Code,NP01 Site Code,PD,Business Format,Format,Sub Format,PM Head,PM,PM Planner,Site Type,Zone,ZH,State,Cluster,EIC,Site Name,City,Area (Sqft),RFC Date,Actual Start Date,Standard Duration,Change Note / Site Specific Duration,Planned Finish Date,Forecasted Finish Date,Actual Finish Date,HOTO Date,Launch Date,LAUNCHED / YTL,FY,AOP / NON AOP,Planned (Month) Bucket,Actual (Month) Bucket
APEX10000,1,LAND20000,9008-30000,NP01-40000,PD3,Smart,Retail,Hypermarket,Amit Patel,Pooja Iyer,Sneha P,New,North,ZH-N,Delhi,Del-Cluster-3,EIC-765,Reliance Smart Jaipur 2,Jaipur,15246,2024-12-06,2025-01-05,71,98,2025-03-17,2025-04-01,2025-03-30,2025-04-01,2025-04-03,LAUNCHED,FY24-25,NON AOP,Mar-25,Mar-25
APEX10001,2,LAND20001,9008-30001,NP01-40001,PD3,Fresh,Wholesale,Express,Rajesh Kumar,Vikram Singh,Mohan T,Expansion,Central,ZH-C,Chhattisgarh,Chh-Cluster-2,EIC-649,Reliance Fresh Hyderabad 3,Hyderabad,5590,2024-06-20,2024-07-20,157,168,2024-12-24,2025-02-23,2025-02-20,2025-02-23,2025-02-26,LAUNCHED,FY25-26,AOP,Dec-24,Feb-25
APEX10002,3,LAND20002,9008-30002,NP01-40002,PD1,Market,Wholesale,Supermarket,Amit Patel,Deepak Shah,Kiran R,Relocation,Central,ZH-C,Chhattisgarh,Chh-Cluster-3,EIC-954,Reliance Market Bengaluru 2,Bengaluru,13454,2024-03-25,2024-04-24,144,148,2024-09-15,2024-09-17,2024-09-15,2024-09-22,2024-09-24,LAUNCHED,FY24-25,NON AOP,Sep-24,Sep-24
APEX10003,4,LAND20003,9008-30003,NP01-40003,PD1,Market,Retail,Express,Amit Patel,Pooja Iyer,Arjun M,Relocation,East,ZH-E,Odisha,Odi-Cluster-2,EIC-374,Reliance Market Lucknow 9,Lucknow,3668,2024-07-05,2024-08-04,80,99,2024-10-23,2025-01-29,2025-01-22,2025-01-28,2025-01-31,LAUNCHED,FY24-25,NON AOP,Oct-24,Jan-25
APEX10004,5,LAND20004,9008-30004,NP01-40004,PD3,Smart,Wholesale,Supermarket,Priya Sharma,Kavita Reddy,Mohan T,New,South,ZH-S,Kerala,Ker-Cluster-1,EIC-621,Reliance Smart Hyderabad 3,Hyderabad,17671,2024-07-06,2024-08-05,155,180,2025-01-07,2025-04-14,,,,YTL,FY24-25,AOP,Jan-25,
APEX10005,6,LAND20005,9008-30005,NP01-40005,PD3,Market,Retail,Hypermarket,Amit Patel,Rahul Joshi,Mohan T,Expansion,North,ZH-N,Punjab,Pun-Cluster-2,EIC-887,Reliance Market Surat 7,Surat,12646,2024-09-13,2024-10-13,136,155,2025-02-26,2025-05-17,,,,YTL,FY24-25,NON AOP,Feb-25,
APEX10006,7,LAND20006,9008-30006,NP01-40006,PD1,Market,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Kiran R,Relocation,West,ZH-W,Gujarat,Guj-Cluster-2,EIC-119,Reliance Market Lucknow 9,Lucknow,5165,2024-04-25,2024-05-25,171,201,2024-11-12,2025-02-17,2025-02-11,2025-02-13,2025-02-16,LAUNCHED,FY25-26,NON AOP,Nov-24,Feb-25
APEX10007,8,LAND20007,9008-30007,NP01-40007,PD2,Smart,Wholesale,Express,Rajesh Kumar,Rohit Verma,Arjun M,Expansion,South,ZH-S,Karnataka,Kar-Cluster-3,EIC-806,Reliance Smart Bhubaneswar 2,Bhubaneswar,8091,2024-11-29,2024-12-29,158,156,2025-06-05,2025-08-19,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10008,9,LAND20008,9008-30008,NP01-40008,PD3,Smart,Retail,Express,Amit Patel,Pooja Iyer,Arjun M,New,East,ZH-E,Jharkhand,Jha-Cluster-1,EIC-980,Reliance Smart Chennai 2,Chennai,12327,2024-08-22,2024-09-21,62,89,2024-11-22,2025-02-22,2025-02-15,2025-02-16,2025-02-17,LAUNCHED,FY24-25,AOP,Nov-24,Feb-25
APEX10009,10,LAND20009,9008-30009,NP01-40009,PD2,Market,Wholesale,Supermarket,Rajesh Kumar,Rohit Verma,Sneha P,Relocation,East,ZH-E,Jharkhand,Jha-Cluster-3,EIC-155,Reliance Market Bhubaneswar 4,Bhubaneswar,4724,2024-10-30,2024-11-29,163,179,2025-05-11,2025-06-15,,,,YTL,FY24-25,NON AOP,May-25,
APEX10010,11,LAND20010,9008-30010,NP01-40010,PD1,Market,Retail,Hypermarket,Rajesh Kumar,Vikram Singh,Sneha P,Expansion,East,ZH-E,West Bengal,Wes-Cluster-1,EIC-195,Reliance Market Kochi 3,Kochi,9245,2024-10-04,2024-11-03,83,90,2025-01-25,2025-02-27,2025-02-13,2025-02-20,2025-02-25,LAUNCHED,FY24-25,NON AOP,Jan-25,Feb-25
APEX10011,12,LAND20011,9008-30011,NP01-40011,PD1,Smart,Retail,Supermarket,Rajesh Kumar,Neha Gupta,Arjun M,New,West,ZH-W,Goa,Goa-Cluster-1,EIC-693,Reliance Smart Patna 1,Patna,3497,2024-09-17,2024-10-17,93,112,2025-01-18,2025-05-12,,,,YTL,FY25-26,AOP,Jan-25,
APEX10012,13,LAND20012,9008-30012,NP01-40012,PD1,Smart,Retail,Hypermarket,Amit Patel,Deepak Shah,Sneha P,New,North,ZH-N,Uttar Pradesh,Utt-Cluster-2,EIC-773,Reliance Smart Indore 2,Indore,11866,2024-06-05,2024-07-05,68,96,2024-09-11,2024-11-02,2024-10-21,2024-10-22,2024-10-27,LAUNCHED,FY25-26,AOP,Sep-24,Oct-24
APEX10013,14,LAND20013,9008-30013,NP01-40013,PD1,Market,Retail,Hypermarket,Priya Sharma,Sanjay Nair,Sneha P,Relocation,East,ZH-E,Odisha,Odi-Cluster-1,EIC-457,Reliance Market Kolkata 8,Kolkata,3754,2024-08-10,2024-09-09,178,172,2025-03-06,2025-06-06,,,,YTL,FY24-25,NON AOP,Mar-25,
APEX10014,15,LAND20014,9008-30014,NP01-40014,PD2,Market,Retail,Express,Priya Sharma,Kavita Reddy,Kiran R,Expansion,East,ZH-E,Odisha,Odi-Cluster-3,EIC-259,Reliance Market Indore 1,Indore,10424,2024-12-10,2025-01-09,98,94,2025-04-17,2025-04-21,,,,YTL,FY25-26,AOP,Apr-25,
APEX10015,16,LAND20015,9008-30015,NP01-40015,PD1,Market,Wholesale,Express,Amit Patel,Deepak Shah,Kiran R,Expansion,East,ZH-E,Odisha,Odi-Cluster-2,EIC-664,Reliance Market Bhubaneswar 5,Bhubaneswar,15514,2024-03-28,2024-04-27,71,101,2024-07-07,2024-08-22,2024-08-21,2024-08-22,2024-08-25,LAUNCHED,FY24-25,AOP,Jul-24,Aug-24
APEX10016,17,LAND20016,9008-30016,NP01-40016,PD3,Market,Retail,Supermarket,Amit Patel,Rahul Joshi,Kiran R,Expansion,North,ZH-N,Punjab,Pun-Cluster-2,EIC-735,Reliance Market Vadodara 3,Vadodara,6564,2024-10-08,2024-11-07,76,68,2025-01-22,2025-02-17,2025-02-06,2025-02-08,2025-02-10,LAUNCHED,FY24-25,AOP,Jan-25,Feb-25
APEX10017,18,LAND20017,9008-30017,NP01-40017,PD2,Fresh,Wholesale,Supermarket,Rajesh Kumar,Vikram Singh,Kiran R,New,South,ZH-S,Kerala,Ker-Cluster-1,EIC-124,Reliance Fresh Chennai 5,Chennai,7828,2024-05-22,2024-06-21,160,156,2024-11-28,2024-12-27,2024-12-12,2024-12-14,2024-12-16,LAUNCHED,FY25-26,NON AOP,Nov-24,Dec-24
APEX10018,19,LAND20018,9008-30018,NP01-40018,PD2,Market,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Mohan T,Relocation,East,ZH-E,West Bengal,Wes-Cluster-2,EIC-720,Reliance Market Vadodara 6,Vadodara,5289,2024-03-16,2024-04-15,74,80,2024-06-28,2024-08-11,2024-08-10,2024-08-11,2024-08-16,LAUNCHED,FY25-26,AOP,Jun-24,Aug-24
